Time,cus_name,Location
7:3:00,Amber,drinks
7:3:00,Rebekah,spices
7:3:00,Christine,spices
7:3:00,Renee,spices
7:3:00,Don,spices
7:4:00,Don,fruit
7:4:00,Christine,checkout
7:4:00,Rebekah,drinks
7:4:00,Renee,checkout
7:4:00,Amber,spices
7:4:00,Lisa,fruit
7:4:00,Kyle,spices
7:5:00,Lisa,spices
7:5:00,Amber,dairy
7:5:00,Don,checkout
7:5:00,Rebekah,checkout
7:5:00,Kyle,drinks
7:5:00,Adriana,spices
7:5:00,Jean,drinks
7:5:00,Meagan,drinks
7:5:00,Amy,drinks
7:6:00,Amy,checkout
7:6:00,Adriana,drinks
7:6:00,Amber,drinks
7:6:00,Meagan,checkout
7:6:00,Kyle,fruit
7:6:00,Jean,fruit
7:6:00,Lisa,dairy
7:6:00,Mikayla,dairy
7:7:00,Adriana,checkout
7:7:00,Jean,checkout
7:7:00,Kyle,checkout
7:7:00,Amber,checkout
7:7:00,Mikayla,spices
7:7:00,Lisa,checkout
7:7:00,Reginald,spices
7:7:00,Tonya,drinks
7:8:00,Tonya,checkout
7:8:00,Reginald,drinks
7:8:00,Mikayla,drinks
7:8:00,Marc,spices
7:8:00,Leslie,fruit
7:8:00,Kara,dairy
7:8:00,Maxwell,fruit
7:9:00,Leslie,dairy
7:9:00,Reginald,spices
7:9:00,Maxwell,checkout
7:9:00,Kara,fruit
7:9:00,Mikayla,spices
7:9:00,Marc,dairy
7:9:00,Makayla,drinks
7:9:00,Victor,spices
7:9:00,Robyn,dairy
7:9:00,Blake,fruit
7:10:00,Robyn,fruit
7:10:00,Mikayla,drinks
7:10:00,Blake,drinks
7:10:00,Victor,dairy
7:10:00,Leslie,checkout
7:10:00,Marc,drinks
7:10:00,Kara,checkout
7:10:00,Makayla,checkout
7:10:00,Reginald,dairy
7:10:00,Hayley,spices
7:11:00,Mikayla,checkout
7:11:00,Hayley,fruit
7:11:00,Reginald,fruit
7:11:00,Robyn,dairy
7:11:00,Marc,checkout
7:11:00,Victor,checkout
7:11:00,Blake,fruit
7:11:00,Danielle,drinks
7:11:00,Manuel,drinks
7:11:00,Tanner,fruit
7:12:00,Blake,drinks
7:12:00,Danielle,checkout
7:12:00,Tanner,spices
7:12:00,Hayley,checkout
